Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,SYN Flag Count,ACK Flag Count,PSH Flag Count,Protocol,Service,Label
80,8088.089036334092,24,10,8524.191731686322,4581.409780674186,355.1746554869301,458.14097806741853,1620358.214837431,4203.71237844464,245.09360716163917,0,1,0,UDP,HTTPS,BENIGN
443,33180.29536173024,5,17,3024.761907701145,19547.605970769535,604.952381540229,1149.859174751149,680294.3624337167,663.0441278522957,1580.014064844297,1,1,1,TCP,HTTP,Web Attack
36980,941.0915295527172,2,1,79.38842935177416,40.61245468460577,39.69421467588708,40.61245468460577,127512.4472679231,3187.7876973622774,470.5457647763586,1,0,0,UDP,Other,PortScan
80,391158.63640483614,319,2,182196.54272231722,59.27775207330332,571.1490367470759,29.63887603665166,465938.37771170115,820.638917627721,1222.370738765113,1,0,1,TCP,HTTP,DoS
80,98446.97037699241,5,9,2064.272888765593,4649.688678905331,412.85457775311863,516.6320754339256,68198.76266339642,142.20854076451982,7572.843875153262,0,1,0,TCP,HTTPS,BENIGN
53,25917.301023433225,5,15,1276.318525419392,9417.033828544112,255.26370508387842,627.8022552362742,412595.1365188478,771.685291686697,1364.0684749175382,1,1,0,TCP,HTTPS,BENIGN
443,843.0376270048016,19,22,6578.279425656792,14454.70080666685,346.22523292930487,657.0318548484931,24949040.89518634,48633.65369072249,21.07594067512004,0,1,1,TCP,DNS,BENIGN
22,15332.375331483667,74,18,7679.731715298858,1286.8672062776825,103.78015831484943,71.49262257098236,584814.7288153342,6000.374893711752,168.48764100531503,1,1,1,TCP,SSH,Brute Force
80,216006.22397497357,394,3,299227.6255826687,86.55818539718187,759.460978636215,28.852728465727292,1385673.8859651764,1837.9100041394934,545.4702625630646,1,0,1,TCP,HTTPS,DoS
80,59268.42270509109,76,8,47200.041729360084,143.00031908145758,621.0531806494748,17.875039885182197,798790.3151061051,1417.2808414013098,714.0773819890493,1,0,1,TCP,HTTP,DoS
53,105589.69105620988,22,9,9805.97251886942,3872.520462348662,445.72602358497363,430.28005137207356,129543.82993635656,293.5892670004819,3519.6563685403294,0,0,0,TCP,HTTPS,BENIGN
80,29705.405257454135,33,38,24007.521126449483,52462.07310297696,727.5006401954389,1380.5808711309726,2574265.3085077005,2390.1373970376517,424.3629322493448,1,1,1,TCP,HTTP,Web Attack
47260,668.146989929632,1,0,45.25545680190085,0.0,45.25545680190085,12.55628840195418,67732.78557562172,1496.6766521021343,668.146989929632,1,0,0,TCP,Other,PortScan
443,6568.240511132409,6,8,1872.9924469681291,2383.6017701130295,312.1654078280215,297.9502212641287,648056.9963701426,2131.468842572317,505.24927008710836,1,1,0,TCP,DNS,BENIGN
80,3850.2937596897445,16,27,3126.265247693489,15392.518741595286,195.39157798084307,570.0932867257513,4809706.776965769,11167.979038426649,91.67366094499391,0,1,0,TCP,DNS,BENIGN
443,24802.05792707992,5,7,1716.4073133371694,1899.9453147264603,343.28146266743386,271.4207592466372,145808.57115550662,483.83081901030073,2254.732538825447,0,1,1,UDP,HTTPS,BENIGN
8080,43635.16879327608,4,13,772.7582617668253,7322.5193707380795,193.18956544170632,563.2707208260061,185521.85900452704,389.59400112643993,2727.198049579755,0,1,1,TCP,HTTPS,BENIGN
443,49315.47557391876,28,9,8666.418893977994,3636.0161695750894,309.51496049921406,404.00179661945435,249463.98509557138,750.2715845159164,1369.8743214977433,1,1,0,UDP,HTTP,BENIGN
80,78577.66319007053,5,24,989.9350553691656,13011.312940235703,197.98701107383312,542.1380391764876,178183.56295143857,369.06162416477395,2806.34511393109,0,1,0,TCP,DNS,BENIGN
443,27871.224628706717,13,29,4393.618336080935,6492.803926422992,337.970641236995,223.88979056631007,390597.19863515295,1506.9305550621903,679.7859665538224,1,1,0,TCP,HTTPS,BENIGN
443,72925.88397962609,149,9,145944.97851939598,64.70339530372054,979.4965001301744,7.189266144857838,2002165.4033771006,2166.583267528739,464.4960763033509,0,0,1,TCP,HTTP,DoS
53,39262.704327950596,10,28,3310.657374974801,20350.212305000503,331.0657374974801,726.7932966071609,602629.647778272,967.839598683688,1061.1541710256918,0,1,0,TCP,HTTPS,BENIGN
443,24011.501150674674,28,13,5578.534292280391,4208.096411888373,199.23336758144254,323.6997239914133,407580.9605887044,1707.5150671638862,600.2875287668669,0,1,1,TCP,HTTP,BENIGN
80,105176.50292154001,6,23,2918.9793861392377,13464.95676968359,486.49656435653964,585.4329030297213,155775.63144540924,275.7269845873611,3756.303675769286,0,1,1,UDP,HTTP,BENIGN
80,39144.47516553635,1,1,250.06912528800228,338.0587557342699,250.06912528800228,338.0587557342699,15024.543783897063,51.09277852218705,39144.47516553635,0,1,0,ICMP,Other,BENIGN
3247,350.3536851639507,2,1,65.52916272517389,0.0,32.764581362586945,0.0,187037.17272021563,8562.77563798459,175.17684258197534,1,0,0,TCP,Other,PortScan
80,22345.744059772718,22,5,4536.004327313267,2767.871939275953,206.1820148778758,553.5743878551906,326857.5996866362,1208.2837755492765,859.4516946066431,0,0,0,TCP,HTTPS,BENIGN
80,92466.88794184064,8,17,1811.1478251674803,3085.3847270845185,226.39347814593503,181.4932192402658,52954.44305784137,270.3670530766037,3852.7869975766935,0,1,1,TCP,HTTP,BENIGN
